Municipality,Municipality District,Community,Condo Corp#,Building Name,Unit #,Apt/Unit #,Street #,Street Name,Address,Postal Code,Bedrooms,Bedrooms +,Beds,Bedrooms Total,WR,Balcony,Type,SqFt,Approx Age,Status,Exposure,Parking Included,Total Parking Spaces,Locker,Building Amenities,Maintenance,Taxes,MLS#,Listing Entry Date,Original Price,Price,List Price,Sold Price,% Listing Price,Sold Date,Closed Date,DOM,Square Foot Source,Suspended Date,Suspended Entry Date,Terminated Date,Terminated Entry Date,PIN#,Assessment Roll #,List Brokerage,Contract Date,Co-Operating Brokerage,Last Update Date
Toronto,Toronto C01,Bay Street Corridor,2845,,163,Parking,11,Wellesley,11 Wellesley St W ParkingÂ Toronto,M4Y 0G4,0,,0,0,0,,Condo AptÂ Apartment,0-499,,EXP,E,,1,,,73,1084.9,C6631108,7/2/2023,78000,1,1,,,,,183,0-100,,,,,211040025,,LE REALTY INC,7/1/2023,,1/1/2024
Toronto,Toronto C01,Waterfront Communities C1,949,,11,2811,99,Harbour,99 Harbour Sq 2811Â Toronto,M5J 2H2,0,,0,0,0,,Parking SpaceÂ Apartment,700-799,31-50,EXP,,Y,1,,"Concierge, Guest Suites, Gym, Indoor Pool, Visitor Parking",0,0,C6775136,8/29/2023,30000,28000,28000,,,,,124,Mls,,,,,119490000,,PRECON REALTY POINT,8/29/2023,,1/1/2024
Toronto,Toronto C01,Waterfront Communities C1,2016,Montage,67,Parking,25,Telegram,25 Telegram Mews ParkingÂ Toronto,M5V 3Z1,0,,0,0,0,,Parking Space,,,EXP,,,1,,,56.4,315,C6710028,8/1/2023,47000,47000,47000,,,,,152,,,,,,213940126,,PROMPTON REAL ESTATE SERVICES CORP.,8/1/2023,,1/1/2024
Toronto,Toronto C01,Bay Street Corridor,1781,Eleven Residence,11,,11,St. Joseph,11 St. Joseph StÂ Toronto,M4Y 3G4,0,,0,0,0,,Parking Space,,,EXP,,,1,,,85,0,C6767852,8/24/2023,60000,60000,60000,,,,,129,,,,,,127810000,,HOMELIFE LANDMARK REALTY INC.,8/24/2023,,1/1/2024
Toronto,Toronto C01,Bay Street Corridor,2529,Yc Condos,22,E-22,7,Grenville,7 Grenville St E-22Â Toronto,M4Y 1A1,0,,0,0,0,,Parking SpaceÂ Apartment,,,EXP,,Y,1,,Indoor Pool,0,0,C5906099,2/11/2023,112000,108000,108000,,,,,323,,,,,,767360983,1.90E+14,"RE/MAX IMPERIAL REALTY INC., BROKERAGE",2/11/2023,,1/1/2024
Toronto,Toronto C01,Waterfront Communities C1,2450,Infinity 3,40,"B, 40",19,Grand Trunk,"19 Grand Trunk Cres B, 40Â Toronto",M5J 3A3,0,,0,0,0,,Parking Space,,,EXP,,Y,2,,,17.75,0,C6713886,8/2/2023,170000,163000,163000,,,,,151,,,,,,764500708,1.90E+14,ROYAL LEPAGE SIGNATURE REALTY,8/2/2023,,1/1/2024
Toronto,Toronto C01,Niagara,2832,Playground Condos,20,1408,50,Ordnance,50 Ordnance St 1408Â Toronto,M6K 1A2,0,,0,0,1,Open,Condo AptÂ Apartment,0-499,0-5,Sold,N,,0,,,275.08,1519.1,C7292134,11/11/2023,445000,420000,445000,420000,94,12/29/2023,3/1/2024,48,Floorplan,,,,,212410353,,ROYAL LEPAGE SIGNATURE REALTY,11/11/2023,"ZOLO REALTY, BROKERAGE",1/2/2024
Toronto,Toronto C01,Niagara,2758,Minto West,1,801,27,Bathurst,27 Bathurst St 801Â Toronto,M5V 0R1,0,,0,0,1,Open,Condo AptÂ Apartment,0-499,0-5,Sold,Ne,,0,,"Bike Storage, Concierge, Exercise Room, Gym, Outdoor Pool, Party/Meeting Room",246.83,1491.36,C7361050,12/18/2023,434800,435000,434800,435000,100,12/29/2023,1/29/2024,11,Builder,,,,,212400280,,KELLER WILLIAMS REFERRED URBAN PIERRE CARAPETIAN GROUP REALTY,12/18/2023,"RARE REAL ESTATE, BROKERAGE",1/3/2024
Toronto,Toronto C01,Little Portugal,2249,Westside Gallery Lofts,5,1805,150,Sudbury,150 Sudbury St 1805Â Toronto,M6J 3S8,1,,1,1,1,Open,Condo AptÂ Apartment,0-499,,Sold,E,,0,,"Bike Storage, Exercise Room, Guest Suites, Gym, Party/Meeting Room",317.35,1738.98,C7366356,12/22/2023,399888,460000,399888,460000,115,1/5/2024,2/5/2024,15,Mpac,,,,,762490329,1.90E+14,THE LIND REALTY TEAM INC.,12/21/2023,"RE/MAX HALLMARK REALTY LTD., BROKERAGE",1/5/2024
Toronto,Toronto C01,Dufferin Grove,1802,,10,1410,1369,Bloor,1369 Bloor St W 1410Â Toronto,M6P 4J4,0,,0,0,1,Open,Condo AptÂ Bachelor/Studio,0-499,,EXP,W,,0,,"Gym, Media Room, Outdoor Pool, Party/Meeting Room, Security System, Visitor Parking",227.67,1372.52,C7216830,10/13/2023,469888,469888,469888,,,,,79,Mpac,,,,,128020334,1.90E+14,RIGHT AT HOME REALTY,10/13/2023,,1/1/2024
