Municipality,Municipality District,Community,Condo Corp#,Building Name,Unit #,Apt/Unit #,Street #,Street Name,Address,Postal Code,Bedrooms,Bedrooms +,Beds,Bedrooms Total,WR,Balcony,Type,SqFt,Approx Age,Status,Exposure,Parking Included,Total Parking Spaces,Locker,Building Amenities,Maintenance,Taxes,MLS#,Listing Entry Date,Original Price,Price,List Price,Sold Price,% Listing Price,Sold Date,Closed Date,DOM,Square Foot Source,Suspended Date,Suspended Entry Date,Terminated Date,Terminated Entry Date,PIN#,Assessment Roll #,List Brokerage,Contract Date,Co-Operating Brokerage,Last Update Date,Full Address,location,Latitude,Longitude
Toronto,Toronto C01,Bay Street Corridor,2845,,163,Parking,11,Wellesley,11 Wellesley St W Parking‚ Toronto,M4Y 0G4,0,,0,0,0,,Condo Apt‚ Apartment,0-499,,EXP,E,,1,,,73,1084.9,C6631108,7/2/2023,78000,1,1,,,,,183,0-100,,,,,211040025,,LE REALTY INC,7/1/2023,,1/1/2024,"11 Wellesley st, Toronto, ON, Canada","11 Wellesley St E, Toronto, ON M4Y 3A6, Canada",43.6651161,-79.3841772
Toronto,Toronto C01,Waterfront Communities C1,949,,11,2811,99,Harbour,99 Harbour Sq 2811‚ Toronto,M5J 2H2,0,,0,0,0,,Parking Space‚ Apartment,700-799,31-50,EXP,,Y,1,,"Concierge, Guest Suites, Gym, Indoor Pool, Visitor Parking",0,0,C6775136,8/29/2023,30000,28000,28000,,,,,124,Mls,,,,,119490000,,PRECON REALTY POINT,8/29/2023,,1/1/2024,"99 Harbour st, Toronto, ON, Canada","99 Harbour St, Toronto, ON M5J 2L9, Canada",43.6409124,-79.3811493
Toronto,Toronto C01,Waterfront Communities C1,2016,Montage,67,Parking,25,Telegram,25 Telegram Mews Parking‚ Toronto,M5V 3Z1,0,,0,0,0,,Parking Space,,,EXP,,,1,,,56.4,315,C6710028,8/1/2023,47000,47000,47000,,,,,152,,,,,,213940126,,PROMPTON REAL ESTATE SERVICES CORP.,8/1/2023,,1/1/2024,"25 Telegram st, Toronto, ON, Canada","25 Telegram Mews, Toronto, ON M5V 3Z1, Canada",43.6411466,-79.3942468
Toronto,Toronto C01,Bay Street Corridor,1781,Eleven Residence,11,,11,St. Joseph,11 St. Joseph St‚ Toronto,M4Y 3G4,0,,0,0,0,,Parking Space,,,EXP,,,1,,,85,0,C6767852,8/24/2023,60000,60000,60000,,,,,129,,,,,,127810000,,HOMELIFE LANDMARK REALTY INC.,8/24/2023,,1/1/2024,"11 St. Joseph st, Toronto, ON, Canada","11 St Joseph St, Toronto, ON M4Y 3G4, Canada",43.6657429,-79.3861318
Toronto,Toronto C01,Bay Street Corridor,2529,Yc Condos,22,E-22,7,Grenville,7 Grenville St E-22‚ Toronto,M4Y 1A1,0,,0,0,0,,Parking Space‚ Apartment,,,EXP,,Y,1,,Indoor Pool,0,0,C5906099,2/11/2023,112000,108000,108000,,,,,323,,,,,,767360983,1.90E+14,"RE/MAX IMPERIAL REALTY INC., BROKERAGE",2/11/2023,,1/1/2024,"7 Grenville st, Toronto, ON, Canada","7 Grenville St, Toronto, ON M4Y 0E9, Canada",43.6619393,-79.3838729
Toronto,Toronto C01,Waterfront Communities C1,2450,Infinity 3,40,"B, 40",19,Grand Trunk,"19 Grand Trunk Cres B, 40‚ Toronto",M5J 3A3,0,,0,0,0,,Parking Space,,,EXP,,Y,2,,,17.75,0,C6713886,8/2/2023,170000,163000,163000,,,,,151,,,,,,764500708,1.90E+14,ROYAL LEPAGE SIGNATURE REALTY,8/2/2023,,1/1/2024,"19 Grand Trunk st, Toronto, ON, Canada","19 Grand Trunk Crescent, Toronto, ON M5J 3A3, Canada",43.6416602,-79.3827118
Toronto,Toronto C01,Niagara,2832,Playground Condos,20,1408,50,Ordnance,50 Ordnance St 1408‚ Toronto,M6K 1A2,0,,0,0,1,Open,Condo Apt‚ Apartment,0-499,0-5,Sold,N,,0,,,275.08,1519.1,C7292134,11/11/2023,445000,420000,445000,420000,94,12/29/2023,3/1/2024,48,Floorplan,,,,,212410353,,ROYAL LEPAGE SIGNATURE REALTY,11/11/2023,"ZOLO REALTY, BROKERAGE",1/2/2024,"50 Ordnance st, Toronto, ON, Canada","50 Ordnance St, Toronto, ON M6K 0C9, Canada",43.6396981,-79.4097181
Toronto,Toronto C01,Niagara,2758,Minto West,1,801,27,Bathurst,27 Bathurst St 801‚ Toronto,M5V 0R1,0,,0,0,1,Open,Condo Apt‚ Apartment,0-499,0-5,Sold,Ne,,0,,"Bike Storage, Concierge, Exercise Room, Gym, Outdoor Pool, Party/Meeting Room",246.83,1491.36,C7361050,12/18/2023,434800,435000,434800,435000,100,12/29/2023,1/29/2024,11,Builder,,,,,212400280,,KELLER WILLIAMS REFERRED URBAN PIERRE CARAPETIAN GROUP REALTY,12/18/2023,"RARE REAL ESTATE, BROKERAGE",1/3/2024,"27 Bathurst st, Toronto, ON, Canada","27 Bathurst St, Toronto, ON M5V 0R1, Canada",43.6411056,-79.4011877
Toronto,Toronto C01,Little Portugal,2249,Westside Gallery Lofts,5,1805,150,Sudbury,150 Sudbury St 1805‚ Toronto,M6J 3S8,1,,1,1,1,Open,Condo Apt‚ Apartment,0-499,,Sold,E,,0,,"Bike Storage, Exercise Room, Guest Suites, Gym, Party/Meeting Room",317.35,1738.98,C7366356,12/22/2023,399888,460000,399888,460000,115,1/5/2024,2/5/2024,15,Mpac,,,,,762490329,1.90E+14,THE LIND REALTY TEAM INC.,12/21/2023,"RE/MAX HALLMARK REALTY LTD., BROKERAGE",1/5/2024,"150 Sudbury st, Toronto, ON, Canada","150 Sudbury St, Toronto, ON M6J 3S8, Canada",43.6415413,-79.4240738
Toronto,Toronto C01,Dufferin Grove,1802,,10,1410,1369,Bloor,1369 Bloor St W 1410‚ Toronto,M6P 4J4,0,,0,0,1,Open,Condo Apt‚ Bachelor/Studio,0-499,,EXP,W,,0,,"Gym, Media Room, Outdoor Pool, Party/Meeting Room, Security System, Visitor Parking",227.67,1372.52,C7216830,10/13/2023,469888,469888,469888,,,,,79,Mpac,,,,,128020334,1.90E+14,RIGHT AT HOME REALTY,10/13/2023,,1/1/2024,"1369 Bloor st, Toronto, ON, Canada","1369 Bloor St W, Toronto, ON M6P 4J4, Canada",43.6570898,-79.4455728
