Municipality,Municipality District,Community,Condo Corp#,Building Name,Unit #,Apt/Unit #,Street #,Street Name,Address,Postal Code,Bedrooms,Bedrooms +,Beds,Bedrooms Total,WR,Balcony,Type,SqFt,Approx Age,Status,Exposure,Parking Included,Total Parking Spaces,Locker,Building Amenities,Maintenance,Taxes,MLS#,Listing Entry Date,Original Price,Price,List Price,Sold Price,% Listing Price,Sold Date,Closed Date,DOM,Square Foot Source,Suspended Date,Terminated Date,PIN#,Assessment Roll #,List Brokerage,Contract Date,Co-Operating Brokerage,Last Update Date,Full Address,location,Latitude,Longitude,Area,Reg year
Toronto,Toronto C01,Little Portugal,2583,,30,335,68,Abell,68 Abell St 335‚ Toronto,M6J 0B1,1,,1,1,1,Open,Condo Apt‚ Apartment,0-499,,Sold,N,,0,,,291.99,1312.56,C8215162,4/9/2024,399000,420000,429900,420000,98,4/25/2024,5/22/2024,16,As Per Owner,,,765830099,1.90E+14,HOMELIVING EMPIRE REALTY INC.,4/9/2024,"PROPERTY.CA INC., BROKERAGE",5/2/2024,"68 Abell st, Toronto, ON, Canada","68 Abell St, Toronto, ON M6J 0B1, Canada",43.6423205,-79.4243624,373,
Toronto,Toronto C01,Kensington-Chinatown,1794,,64,35,68,Carr,68 Carr St 35‚ Toronto,M5T 1B7,0,,0,0,1,Terr,Condo Townhouse‚ Bachelor/Studio,0-499,,SUS,W,,1,,"Bbqs Allowed, Visitor Parking",335.33,1900,C8126446,3/8/2024,469900,469500,469500,,,,,49,Mgmt,4/26/2024,,127940064,1.90E+14,ROYAL LEPAGE SIGNATURE REALTY,3/8/2024,,5/1/2024,"68 Carr st, Toronto, ON, Canada","68 Carr St, Toronto, ON M5T 1B7, Canada",43.6495506,-79.4036701,355,
Toronto,Toronto C01,Bay Street Corridor,2845,,10,3010,11,Wellesley,11 Wellesley St W 3010‚ Toronto,M4Y 1E8,0,,0,0,1,Open,Condo Apt‚ Apartment,0-499,0-5,Sold,N,Y,1,Owned,,392.66,2107.07,C8186006,4/1/2024,559900,470000,469900,470000,100,4/28/2024,6/27/2024,27,Builder Floorplan 343 Sq Ft,,,,,ROYAL LEPAGE VISION REALTY,4/1/2024,"BSPOKE REALTY INC., BROKERAGE",5/2/2024,"11 Wellesley st, Toronto, ON, Canada","11 Wellesley St E, Toronto, ON M4Y 3A6, Canada",43.6651161,-79.3841772,343,
Toronto,Toronto C01,Bay Street Corridor,933,Minto Plaza,10,1110,38,Elm,38 Elm St 1110‚ Toronto,M5G 2K5,1,,1,1,1,,Condo Apt‚ Apartment,600-699,31-50,Sold,S,,0,Exclusive,"Concierge, Games Room, Gym, Indoor Pool, Party/Meeting Room, Rooftop Deck/Garden",640.12,2098.76,C8176624,3/27/2024,549000,475000,529000,475000,90,4/26/2024,6/13/2024,30,As Per Previous Listing,,,119330121,1.90E+14,REAL BROKER ONTARIO LTD.,3/27/2024,"REAL BROKER ONTARIO LTD., BROKERAGE",5/1/2024,"38 Elm st, Toronto, ON, Canada","38 Elm St, Toronto, ON M5G 2K5, Canada",43.6578425,-79.3835701,608,
Toronto,Toronto C01,Waterfront Communities C1,1694,,1,601,10,Navy Wharf,10 Navy Wharf Crt 601‚ Toronto,M5V 3V2,1,1,1+1,2,1,Open,Condo Apt‚ Apartment,600-699,,Sold,W,Y,1,Owned,"Concierge, Gym, Indoor Pool, Squash/Racquet Court",662.85,2451.89,C8188212,4/2/2024,599000,665000,688000,665000,97,4/27/2024,6/3/2024,25,665+27 As Per Floorplan,,,126940086,1.90E+14,SMART SOLD REALTY,4/2/2024,"HOMELIFE GOLCONDA REALTY INC., BROKERAGE",5/2/2024,"10 Navy Wharf st, Toronto, ON, Canada","10 Navy Wharf Ct, Toronto, ON M5V 3V2, Canada",43.6404514,-79.3919349,659,
Toronto,Toronto C01,Waterfront Communities C1,989,Residences Of The World Trade Ii,6,1006,10,Queens,10 Queens Quay W 1006‚ Toronto,M5J 2R9,1,1,1+1,2,1,,Comm Element Condo‚ Apartment,700-799,16-30,EXP,S,,1,Owned,"Car Wash, Gym, Outdoor Pool, Party/Meeting Room, Sauna, Visitor Parking",984.25,2585.1,C8053762,2/8/2024,865000,865000,865000,,,,,82,740 Per Builder,,,,,PROPERTY.CA INC.,2/8/2024,,5/1/2024,"10 Queens st, Toronto, ON, Canada","10 Queen St E, Toronto, ON M5C, Canada",43.6529344,-79.3783172,738,
Toronto,Toronto C01,Waterfront Communities C1,2708,Ten York,7,3707,10,York,10 York St 3707‚ Toronto,M5J 0E1,1,1,1+1,2,1,,Condo Apt‚ Apartment,600-699,,Sold,S,,0,Owned,,464.76,3591.22,C8124888,3/8/2024,758000,720000,745000,720000,97,5/2/2024,5/31/2024,55,"A/P Builders Plan, 648 Sqft",,,,1.90E+14,JDL REALTY INC.,3/8/2024,"PROPERTY.CA INC., BROKERAGE",5/2/2024,"10 York st, Toronto, ON, Canada","10 York St, Toronto, ON M5J 0E1, Canada",43.6411454,-79.3813125,663,
Toronto,Toronto C01,Waterfront Communities C1,2534,,12,512,629,King,629 King St W 512‚ Toronto,M5V 0G9,1,,1,1,1,,Condo Apt‚ Apartment,600-699,,SUS,S,Y,0,Owned,"Concierge, Gym, Media Room, Outdoor Pool, Rooftop Deck/Garden",543.02,2400.77,C8147568,3/16/2024,627000,617000,617000,,,,,46,630 Sq.Ft.,5/1/2024,,765340116,1.90E+14,THE CONDO STORE REALTY INC.,3/16/2024,,5/1/2024,"629 King st, Toronto, ON, Canada","629 King St W, Toronto, ON M5V 0G9, Canada",43.644001,-79.4015398,630,
Toronto,Toronto C01,Niagara,2296,,15,515,5,Hanna,5 Hanna Ave 515‚ Toronto,M6K 0B3,1,,1,1,2,Encl,Condo Apt‚ Loft,500-599,,Sold,N,Y,1,Owned,"Concierge, Exercise Room, Guest Suites, Gym, Visitor Parking",451.82,2278.66,C8270668,4/25/2024,568000,620000,568000,620000,109,5/2/2024,5/29/2024,7,Mpac,,,,,HOMELIFE NEW WORLD REALTY INC.,4/25/2024,"PROPERTY.CA INC., BROKERAGE",5/2/2024,"5 Hanna st, Toronto, ON, Canada","5 Hanna Ave, Toronto, ON M6K 0B3, Canada",43.6375922,-79.4187813,542,
Toronto,Toronto C01,Bay Street Corridor,876,,7,1007,1001,Bay,1001 Bay St 1007‚ Toronto,M5S 3A6,1,1,1+1,2,1,,Condo Apt‚ Apartment,700-799,,TER,Se,,0,Exclusive,"Concierge, Guest Suites, Gym, Indoor Pool, Party/Meeting Room, Rooftop Deck/Garden",536.56,2385.5,C8154504,3/19/2024,589000,629000,629000,,,,,43,Measurement,,5/1/2024,,1.90E+14,ROYAL LEPAGE SIGNATURE REALTY,3/19/2024,,5/1/2024,"1001 Bay st, Toronto, ON, Canada","1001 Bay St., Toronto, ON M5S 3A6, Canada",43.6655763,-79.3873824,710,
Toronto,Toronto C01,Waterfront Communities C1,2155,,5,2505,80,John,80 John St 2505‚ Toronto,M5V 3X4,1,,1,1,1,Open,Condo Apt‚ Apartment,500-599,,EXP,W,,0,Owned,"Concierge, Gym, Indoor Pool, Media Room, Party/Meeting Room, Sauna",598.56,2678.42,C8093780,2/26/2024,638000,638000,638000,,,,,64,As Per Builder's Plan,,,761550316,,LANDSTARS 360 REALTY INC.,2/26/2024,,5/1/2024,"80 John st, Toronto, ON, Canada","80 John St, Toronto, ON M5V 3X4, Canada",43.646771,-79.3899912,568,
Toronto,Toronto C01,Trinity-Bellwoods,2612,,1,401,109,Wolseley,109 Wolseley St 401‚ Toronto,M6J 1K1,1,1,1+1,2,1,Open,Condo Apt‚ Loft,700-799,,TER,Nw,Y,1,Owned,Bbqs Allowed,1035.6,3517.9,C8096682,2/27/2024,599999,599999,599999,,,,,65,Mpac,,5/1/2024,,,KELLER WILLIAMS ENERGY REAL ESTATE,2/26/2024,,5/1/2024,"109 Wolseley st, Toronto, ON, Canada","109 Wolseley St, Toronto, ON M6J 1K1, Canada",43.6479268,-79.4045798,775,
Toronto,Toronto C01,Little Portugal,2218,2G,4,704,2,Gladstone,2 Gladstone Ave 704‚ Toronto,M6J 0B2,2,,2,2,1,Open,Condo Apt‚ Apartment,700-799,,TER,E,Y,1,Owned,"Bbqs Allowed, Bike Storage, Party/Meeting Room, Visitor Parking",835.35,2964.9,C8259782,4/22/2024,649000,649000,649000,,,,,10,727 - Mpac,,5/2/2024,,,BOSLEY REAL ESTATE LTD.,4/22/2024,,5/2/2024,"2 Gladstone st, Toronto, ON, Canada","2 Gladstone Ave, Toronto, ON M6J 1J6, Canada",43.6427533,-79.4274355,767,2012
Toronto,Toronto C01,Waterfront Communities C1,2510,,3,2503,12,York,12 York St 2503‚ Toronto,M5J 0A9,1,1,1+1,2,1,Jlte,Condo Apt‚ Apartment,600-699,,EXP,S,,0,Owned,,533.28,3144.81,C7401960,1/16/2024,649999,649999,649999,,,,,105,Mpac,,,,,RE/MAX PROFESSIONALS INC.,1/16/2024,,5/1/2024,"12 York st, Toronto, ON, Canada","12 York St, Toronto, ON M5J 0A9, Canada",43.6417442,-79.3819559,683,
Toronto,Toronto C01,Dufferin Grove,1802,Bebloor,9,1009,1369,Bloor,1369 Bloor St W 1009‚ Toronto,M6P 4J4,1,1,1+1,2,1,Open,Condo Apt‚ Apartment,700-799,16-30,Sold,W,Y,1,Owned,"Bike Storage, Exercise Room, Outdoor Pool, Party/Meeting Room, Visitor Parking",515.15,2278.66,C7402458,1/16/2024,675000,650000,669800,650000,97,5/1/2024,5/30/2024,107,Seller,,,128020265,1.90E+14,ROYAL LEPAGE YOUR COMMUNITY REALTY,1/15/2024,"TORONTO REAL ESTATE SERVICES LTD., BROKERAGE",5/1/2024,"1369 Bloor st, Toronto, ON, Canada","1369 Bloor St W, Toronto, ON M6P 4J4, Canada",43.6570898,-79.4455728,716,
Toronto,Toronto C01,Bay Street Corridor,1781,Eleven Residences,8,1612,11,St Joseph,11 St Joseph St 1612‚ Toronto,M4Y 1J8,2,,2,2,2,,Condo Apt‚ Apartment,900-999,,EXP,Se,Y,1,Owned,"Bbqs Allowed, Concierge, Gym, Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",869.61,3873.75,C8041278,2/2/2024,980000,958000,958000,,,,,88,Builder Floor Plan - 980 Sf,,,,,TRADEWORLD REALTY INC,2/2/2024,,5/1/2024,"11 St Joseph st, Toronto, ON, Canada","11 St Joseph St, Toronto, ON M4Y 3G4, Canada",43.6657429,-79.3861318,980,2010
Toronto,Toronto C01,Waterfront Communities C1,2658,,3,5503,100,Harbour,100 Harbour St 5503‚ Toronto,M5J 2T5,1,,1,1,1,Open,Condo Apt‚ Apartment,500-599,,Sold,N,,0,,,499.52,2818.33,C8237696,4/16/2024,725000,681900,725000,681900,94,4/30/2024,6/27/2024,14,As Per Builder,,,,,ROYAL LEPAGE REAL ESTATE SERVICES SUCCESS TEAM,4/16/2024,"HOMEWISE REAL ESTATE, BROKERAGE",5/1/2024,"100 Harbour st, Toronto, ON, Canada","100 Harbour St, Toronto, ON M5J 0B5, Canada",43.6417725,-79.379146,,
Toronto,Toronto C01,Bay Street Corridor,1510,Elev'n21,1,801,1121,Bay,1121 Bay St 801‚ Toronto,M5S 3L9,2,,2,2,1,Open,Condo Apt‚ Apartment,700-799,16-30,EXP,E,,0,,"Concierge, Exercise Room, Party/Meeting Room, Rooftop Deck/Garden, Sauna",998.64,3165.98,C8032386,1/30/2024,81800,799000,799000,,,,,91,Floor Plan 765 Sq Ft + 30 Sq Ft Balcony,,,125100356,1.90E+14,AGENTONDUTY INC.,1/30/2024,,5/1/2024,"1121 Bay st, Toronto, ON, Canada","1121 Bay St., Toronto, ON M5S 3L9, Canada",43.6679864,-79.3885486,776,
Toronto,Toronto C01,Waterfront Communities C1,2824,King Blue,16,519,115,Blue Jays,115 Blue Jays Way 519‚ Toronto,M5V 0N4,1,,1,1,1,,Condo Apt‚ Apartment,500-599,0-5,TER,Sw,,0,,"Concierge, Gym, Indoor Pool, Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",368.72,2258.67,C8152902,3/18/2024,599999,599999,599999,,,,,44,Floorplan,,5/1/2024,768240033,1.90E+14,SKYLINE MARKETING REALTY INC.,3/18/2024,,5/1/2024,"115 Blue Jays st, Toronto, ON, Canada","115 Blue Jays Way, Toronto, ON M5V 0N4, Canada",43.6455292,-79.3918257,527,
Toronto,Toronto C01,Waterfront Communities C1,2824,King Blue,4,705,115,Blue Jays,115 Blue Jays Way 705‚ Toronto,M5V 0N4,1,,1,1,1,Jlte,Condo Apt‚ Apartment,0-499,0-5,TER,N,,0,,"Concierge, Gym, Indoor Pool, Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",363.82,2045.46,C8145514,3/15/2024,499900,550000,550000,,,,,52,467,,5/6/2024,,,HOMELIFE FRONTIER REALTY INC.,3/15/2024,,5/6/2024,"115 Blue Jays st, Toronto, ON, Canada","115 Blue Jays Way, Toronto, ON M5V 0N4, Canada",43.6455292,-79.3918257,422,
